@relation market_basket

@attribute Item1 {yes, no}
@attribute Item2 {yes, no}
@attribute Item3 {yes, no}
@attribute Item4 {yes, no}
@attribute Item5 {yes, no}
@attribute Item6 {yes, no}
@attribute Item7 {yes, no}
@attribute Item8 {yes, no}
@attribute Item9 {yes, no}
@attribute Item10 {yes, no}

@data
yes, no, yes, no, yes, no, yes, no, yes, no
no, yes, no, yes, no, yes, no, yes, no, yes
yes, yes, no, no, yes, yes, no, no, yes, no
no, no, yes, yes, no, no, yes, yes, no, yes
yes, no, yes, yes, no, yes, no, no, yes, yes
no, yes, yes, no, yes, no, yes, yes, no, no
yes, no, no, yes, yes, no, yes, no, yes, yes
yes, yes, yes, yes, no, yes, no, yes, no, no
no, no, no, yes, yes, yes, yes, no, no, yes
yes, yes, no, no, yes, no, yes, yes, no, yes
